name,address,reviews,dessert,url,image
Minus 10 Ice Cream,"10 Mott St New York, NY 10013",,Icecream,https://www.minus10icecream.com/,"https://static.wixstatic.com/media/856534_5f425d81dca845629d4590f1e01a0d3f~mv2.jpg/v1/fill/w_759,h_667,al_c,q_85/856534_5f425d81dca845629d4590f1e01a0d3f~mv2.webp"
Du's Donuts & Coffee,"107 N 12th St, Brooklyn, NY 11249",4.1,Pastry,https://www.dusdonuts.com/,https://bbook.com/wp-content/uploads/2017/10/Dus-Donuts--695x695.jpg
Five Pennies Creamery,"11 N Park Ave, Rockville Centre, NY 11570",4.8,Icecream,https://www.fivepenniescreameryny.com/,https://images.squarespace-cdn.com/content/v1/598523f8c534a5778bd465e4/1501900160563-PUL4FPJ39DLASPT3DIHD/ke17ZwdGBToddI8pDm48kHE07V1FVe-sh4jhAi493pt7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UQngsjMcDWuFKYrMD_Zlhu8C2HJHTIt2AWf7yuGVILA8dHAUU1yCyl3bk2OZwfORiw/fp_01.jpg?format=1000w
Gelso & Grand,"186 Grand Street, NY, NY 10013
Little Italy NYC",,Dining and Dessert,https://www.youtube.com/redirect?q=https%3A%2F%2Fwww.gelsoandgrand.com%2F&v=fgZ-hctTLbM&redir_token=iw-fLgj8NVjnYIjsbc09_nNPJq98MTU4Mjc0MzY5MkAxNTgyNjU3Mjky&event=video_description,https://media.nbcnewyork.com/2019/09/svedka-cannoli-credit-gelso-and-grand-11.jpg?fit=1616%2C1080
Sweet Moment,"106 Mott St, New York, NY 10013",4.5,Pastry,https://www.instagram.com/sweetmomentnyc/?hl=en,https://s3-media0.fl.yelpcdn.com/bphoto/gjRe4fD9KK0ZDsuIxJht5w/o.jpg
Wowfulls,"309 E Houston St, New York, NY 10002",4.6,Icecream,http://wowfulls.com/,https://s3-media2.fl.yelpcdn.com/bphoto/EyarBCgDCsgBj1WNnIRJkw/o.jpg
Project Brunch,"616 Forest Ave, Staten Island, NY 10310",,Dining and Dessert,https://projectbrunch.com/,https://i.insider.com/5894a2058275e824008b46c3?width=1080&format=jpeg
Soft Swerve,"85B ALLEN STREET, NEW YORK, N.Y. 10002",4.5,Icecream,http://www.softswervenyc.com/,https://momoandcoco.files.wordpress.com/2018/11/ice-cream-soft-soft-swerve-img_7601.jpg?w=466&h=&zoom=2
Odd Fellows,"55 East Houston Street
New York, NY 10012 & 75 East 4th Street
New York, NY 10003",4.4,Icecream,https://www.oddfellowsnyc.com/,https://s3-media2.fl.yelpcdn.com/bphoto/5KCUgNBTdNKLF6XlQDpmUg/o.jpg
Van Leeuwan,"48.5 East 7th St, New York, NY 10003",,,https://vanleeuwenicecream.com/location/east-village/,https://urbanmatter.com/chicago/wp-content/uploads/2017/07/20184727_2041913869362853_2429573870185873408_n.jpg
The Original Chinatown Ice Cream Factory,"65 Bayard St, New York, NY 10013",4.5,Icecream,http://www.chinatownicecreamfactory.com/,https://www.ahoynewyorkfoodtours.com/wp-content/uploads/2016/04/Chinatown-Ice-Cream-Factory.jpg
Jacques Torres Icecream,"89 East 42nd Street, Grand Central Terminal",no review,Cookies,https://mrchocolate.com/blogs/locations/ice-cream-grand-central,https://cdn.shopify.com/s/files/1/2622/7352/files/Screen-Shot-2017-07-17-at-2.14.17-PM-1024x823_1024x1024.png?v=1515019718
Dominique Ansel Bakery,"189 Spring St, New York, NY 10012",no review,Cookies,https://www.dominiqueansel.com/,https://yorkavenueblog.com//wp-content/uploads/2014/04/Dominique-Ansel-pastry-case2-640x427.jpg
Levain Bakery,340 LAFAYETTE ST.,no review,Cookies,https://levainbakery.com/,https://www.bakemag.com/ext/resources/images/2019/3/LevainBakery_Cookies.jpg?1552319897
Maman Bakery,"soho - 239 centre st, nyc
marché maman - 237 centre st, nyc 
tribeca -  211 west broadway, nyc",no review,Dining and Dessert,https://www.mamannyc.com/,https://images.squarespace-cdn.com/content/v1/5760a79586db43573ee955c1/1471487979976-QHZLFXHBZSH9D3ZYBVOO/ke17ZwdGBToddI8pDm48kMXRibDYMhUiookWqwUxEZ97gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0luUmcNM2NMBIHLdYyXL-Jww_XBra4mrrAHD6FMA3bNKOBm5vyMDUBjVQdcIrt03OQ/cookie+stack+2.jpg
Ray's Candy Store,"113 Avenue A, New York, NY 10009",4.7,Pastry,https://www.instagram.com/rayscandystore/?hl=en,https://media-cdn.tripadvisor.com/media/photo-s/0c/3f/a4/2c/ray-s-beignets.jpg
