name,address,reviews,dessert,Hours,url,image 
Minus 10 Ice Cream,"10 Mott St New York, NY 10013",,icecream,"Sun - Thur: 1pm - 10pm
Fri - Sat: 12pm - 11:30pm",https://www.minus10icecream.com/,"https://static.wixstatic.com/media/856534_5f425d81dca845629d4590f1e01a0d3f~mv2.jpg/v1/fill/w_759,h_667,al_c,q_85/856534_5f425d81dca845629d4590f1e01a0d3f~mv2.webp"
Du's Donuts & Coffee,"107 N 12th St, Brooklyn, NY 11249",4.1,coffee and pastry,"Mon-Fri 8-5pm, Sat 9-6, Sun 9-5",https://www.dusdonuts.com/,https://bbook.com/wp-content/uploads/2017/10/Dus-Donuts--695x695.jpg
Five Pennies Creamery,"11 N Park Ave, Rockville Centre, NY 11570",4.8,icecream,"Mon-thurs 1:00pm - 9:00pm
Friday 1:00pm - 10:00pm
Saturday 12:30pm - 10:00pm
Sunday 12:30pm - 9:00pm",https://www.fivepenniescreameryny.com/,https://images.squarespace-cdn.com/content/v1/598523f8c534a5778bd465e4/1501900160563-PUL4FPJ39DLASPT3DIHD/ke17ZwdGBToddI8pDm48kHE07V1FVe-sh4jhAi493pt7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UQngsjMcDWuFKYrMD_Zlhu8C2HJHTIt2AWf7yuGVILA8dHAUU1yCyl3bk2OZwfORiw/fp_01.jpg?format=1000w
Gelso & Grand,"186 Grand Street, NY, NY 10013
Little Italy NYC",,dining and Dessert ,"Mon-Thu  11AM-1AM
Fri-Sat  11AM-2AM
Sun  11AM-1AM",https://www.youtube.com/redirect?q=https%3A%2F%2Fwww.gelsoandgrand.com%2F&v=fgZ-hctTLbM&redir_token=iw-fLgj8NVjnYIjsbc09_nNPJq98MTU4Mjc0MzY5MkAxNTgyNjU3Mjky&event=video_description,https://media.nbcnewyork.com/2019/09/svedka-cannoli-credit-gelso-and-grand-11.jpg?fit=1616%2C1080
Sweet Moment,"106 Mott St, New York, NY 10013",4.5,dessert ,"Mon-Thurs, Sun10AM–10PM",https://www.instagram.com/sweetmomentnyc/?hl=en,https://s3-media0.fl.yelpcdn.com/bphoto/gjRe4fD9KK0ZDsuIxJht5w/o.jpg
Wowfulls ,"309 E Houston St, New York, NY 10002",4.6,icecream,Sun-Tues 1-9pm Fri- Sat 1-10pm,http://wowfulls.com/,https://s3-media2.fl.yelpcdn.com/bphoto/EyarBCgDCsgBj1WNnIRJkw/o.jpg
Project Brunch,"616 Forest Ave, Staten Island, NY 10310",,Dining and Dessert ,"Mon-Thur, sun 8-8pm Fri -sat 8-9",https://projectbrunch.com/,https://i.insider.com/5894a2058275e824008b46c3?width=1080&format=jpeg
Soft Swerve,"85B ALLEN STREET, NEW YORK, N.Y. 10002",4.5,icecream,"Sun - Thur: 12pm - 10pm
Fri, 2-11, Sat: 12-11",http://www.softswervenyc.com/,https://s3-media0.fl.yelpcdn.com/bphoto/yXPX-x6sqmCYWYwowb7unQ/o.jpg
Odd fellows ,"55 East Houston Street
New York, NY 10012 & 75 East 4th Street
New York, NY 10003",4.4,icecream,"Monday - Thursday: 7am - 10pm
Friday: 7am - 11pm
Saturday: 9am -11pm
Sunday: 9am - 10pm ",https://www.oddfellowsnyc.com/,https://s3-media2.fl.yelpcdn.com/bphoto/5KCUgNBTdNKLF6XlQDpmUg/o.jpg
Van leeuwan ,"48.5 East 7th St, New York, NY 10003",,,"Monday - Thursday 12PM to 12AM
Friday - Saturday 12PM to 1AM
Sunday 12PM to 12AM",https://vanleeuwenicecream.com/location/east-village/,https://urbanmatter.com/chicago/wp-content/uploads/2017/07/20184727_2041913869362853_2429573870185873408_n.jpg
