name,address,reviews,dessert,Hours,url
Minus 10 Ice Cream:,"10 Mott St New York, NY 10013",,icecream,"Sun - Thur: 1pm - 10pm
Fri - Sat: 12pm - 11:30pm",https://www.minus10icecream.com/
Du's Donuts & Coffee,"107 N 12th St, Brooklyn, NY 11249",4.1,coffee and pastry,"Mon-Fri 8-5pm, Sat 9-6, Sun 9-5",https://www.dusdonuts.com/
Five Pennies Creamery,"11 N Park Ave, Rockville Centre, NY 11570",4.8,icecream,"Mon-thurs 1:00pm - 9:00pm
Friday 1:00pm - 10:00pm
Saturday 12:30pm - 10:00pm
Sunday 12:30pm - 9:00pm",https://www.fivepenniescreameryny.com/
Gelso & Grand,"186 Grand Street, NY, NY 10013
Little Italy NYC",,dining and Dessert ,"Mon-Thu  11AM-1AM
Fri-Sat  11AM-2AM
Sun  11AM-1AM",https://www.youtube.com/redirect?q=https%3A%2F%2Fwww.gelsoandgrand.com%2F&v=fgZ-hctTLbM&redir_token=iw-fLgj8NVjnYIjsbc09_nNPJq98MTU4Mjc0MzY5MkAxNTgyNjU3Mjky&event=video_description
Sweet Moment,"106 Mott St, New York, NY 10013",4.5,dessert ,"Mon-Thurs, Sun10AM–10PM",https://www.instagram.com/sweetmomentnyc/?hl=en
Wowfulls ,"309 E Houston St, New York, NY 10002",4.6,icecream,Sun-Tues 1-9pm Fri- Sat 1-10pm,http://wowfulls.com/
Project Brunch,"616 Forest Ave, Staten Island, NY 10310",,Dining and Dessert ,"Mon-Thur, sun 8-8pm Fri -sat 8-9",https://projectbrunch.com/
Soft Swerve,"85B ALLEN STREET, NEW YORK, N.Y. 10002",4.5,icecream,"Sun - Thur: 12pm - 10pm
Fri, 2-11, Sat: 12-11",http://www.softswervenyc.com/
odd fellows ,"55 East Houston Street
New York, NY 10012 & 75 East 4th Street
New York, NY 10003",4.4,icecream,"Monday - Thursday: 7am - 10pm
Friday: 7am - 11pm
Saturday: 9am -11pm
Sunday: 9am - 10pm ",https://www.oddfellowsnyc.com/
Van leeuwan ,"48.5 East 7th St, New York, NY 10003",,,"Monday - Thursday 12PM to 12AM
Friday - Saturday 12PM to 1AM
Sunday 12PM to 12AM",https://vanleeuwenicecream.com/location/east-village/
The Original Chinatown Ice Cream Factory,"65 Bayard St, New York, NY 10013",4.5,icecream,Mon-Sun 11am-10pm,http://www.chinatownicecreamfactory.com/
jacques torres ice cream,"89 East 42nd Street
Grand Central Terminal",no review,cookies,"Monday – Saturday: 9am-9pm
Sunday: 11am-7pm",https://mrchocolate.com/blogs/locations/ice-cream-grand-central
Dominique Ansel Bakery,"189 Spring St, New York, NY 10012",no review,cookies,Mon-sun 7am-8pm ,https://www.dominiqueansel.com/
Levain Bakery,340 LAFAYETTE ST.,no review,cookies,7am-10pm ,https://levainbakery.com/
Maman bakery ,"soho - 239 centre st, nyc
marché maman - 237 centre st, nyc 
tribeca -  211 west broadway, nyc",no review,dining and dessert ,"M-F 7am-6pm 
S-S 8am-6pm",https://www.mamannyc.com/
Ray's Candy Store,"113 Avenue A, New York, NY 10009",4.7,dessert ,24 hr ,https://www.instagram.com/rayscandystore/?hl=en
Eileen's Special Cheesecake,"17 Cleveland Pl, New York, NY 10012",4.6,dessert ,"mon-fri 9AM–9PM
Sat-sun        11AM–8Pm",https://www.eileenscheesecake.com/
eggloo," 60 Mulberry St, New York, NY 10013",4.4,icecream,"mon-thurs,sun 12–10PM, f-s 12-11",https://www.myeggloo.com/mobile
Flour shop ,"177 Lafayette St, New York, NY 10013",4.3,dessert ,mon-thurs 11am-7:30pm ,https://flourshop.com/#
