name,address,reviews,dessert,url,image
Alimama,"89A Bayard St, New York, NY 10013",4.7,Pastry,https://www.alimamanyc.com/,file:///Applications/coreinteractionstudio/pages/alimama.png
Ample Hills Creamery,"141 8th avenue New York, NY 10011",4.5,Icecream,https://www.amplehills.com/,file:///Applications/coreinteractionstudio/pages/ample.png
Bar Pa Tea," 85 Kenmare Street store #2, New York, NY 10012",4.4,Pastry,https://www.barpatea.com/,file:///Applications/coreinteractionstudio/bar.png
Cha Cha Matcha,"1158 BROADWAY
NEW YORK, NY 10011",4.3,Pastry,https://chachamatcha.com/,https://i.pinimg.com/originals/13/77/1a/13771a2fbfdd8a4d6c4bc08f769b5b25.jpg
ChikaLicious Dessert Bar,"203 E 10th St, New York, NY 10003",4.4,Pastry,https://www.chikalicious.com/,https://cdn.viewing.nyc/assets/media/9e9d47e3c16bb2205d2174fb9d5546d3/elements/84d0cfa426b50d5015e14bc00da908e8/xl/d45acbbb-c1eb-4d06-8a2a-a227610e8d96_2x.jpg
Dominique Ansel Bakery,"189 Spring St, New York, NY 10012",no reviews,Cookies,https://www.dominiqueansel.com/,file:///Applications/coreinteractionstudio/levain.png
Minus 10 Ice Cream,"10 Mott St New York, NY 10013",no reviews,Icecream,https://www.minus10icecream.com/,file:///Applications/coreinteractionstudio/minus.png
Eggloo," 60 Mulberry St, New York, NY 10013",4.4,Icecream,https://www.myeggloo.com/mobile,https://www.cherriealmonte.com/wp-content/uploads/2017/05/img_4592-1440x1440.jpg
Eileen's Special Cheesecake,"17 Cleveland Pl, New York, NY 10012",4.6,Pastry,https://www.eileenscheesecake.com/,https://images.squarespace-cdn.com/content/v1/5d9ca4a434c0c7225f1df74b/1573222225123-ZU7JLBMTK05JQ5C68RHR/ke17ZwdGBToddI8pDm48kPJXHKy2-mnvrsdpGQjlhod7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QHyNOqBUUEtDDsRWrJLTmihaE5rlzFBImxTetd_yW5btdZx37rH5fuWDtePBPDaHF5LxdCVHkNEqSYPsUQCdT/Cake_Sampler_White_1.jpg?format=1500w
Five Pennies Creamery,"11 N Park Ave, Rockville Centre, NY 11570",4.8,Icecream,https://www.fivepenniescreameryny.com/,file:///Applications/coreinteractionstudio/five.png
Flour shop,"177 Lafayette St, New York, NY 10013",4.3,Pastry,https://flourshop.com/#,https://i.pinimg.com/originals/af/ae/32/afae3213fb614089fa5c5b49aa65d0e7.jpg
Gelso & Grand,"186 Grand Street, NY, NY 10013
Little Italy NYC",,Dining and Dessert,https://www.youtube.com/redirect?q=https%3A%2F%2Fwww.gelsoandgrand.com%2F&v=fgZ-hctTLbM&redir_token=iw-fLgj8NVjnYIjsbc09_nNPJq98MTU4Mjc0MzY5MkAxNTgyNjU3Mjky&event=video_description,file:///Applications/coreinteractionstudio/gelso.png
Jacques Torres Icecream,"89 East 42nd Street, Grand Central Terminal",no reviews,Cookies,https://mrchocolate.com/blogs/locations/ice-cream-grand-central,file:///Applications/coreinteractionstudio/cookie1.png
Kay's Boutique Toast,"240 Mulberry St New York, NY 10012",no reviews,Dining and Dessert,https://www.justopenednewyork.com/kays-boutique-cafe-nolita-new-york/,file:///Applications/coreinteractionstudio/kay.png
Levain Bakery,340 LAFAYETTE ST.,no reviews,Cookies,https://levainbakery.com/,file:///Applications/coreinteractionstudio/cookie2.png
Magnolia Bakery,"401 Bleecker Street and W. 11th Street
New York, NY 200 Columbus Avenue at 69th Street
New York, NY",4,Pastry,https://www.magnoliabakery.com/,https://pbs.twimg.com/media/EOWovyCX0AAqQZ1.jpg
Maman Bakery,"soho - 239 centre st, nyc
marché maman - 237 centre st, nyc 
tribeca -  211 west broadway, nyc",no reviews,Dining and Dessert,https://www.mamannyc.com/,file:///Applications/coreinteractionstudio/maman.png
Matcha n More,"177 Hester St New York, NY 10013",4.3,Pastry,https://www.matchanmore.com/,https://images.squarespace-cdn.com/content/v1/5a5d1b5d4c326d9d5c126860/1566671748692-S15PSDPU3BX91K2M75OG/ke17ZwdGBToddI8pDm48kHem505q6McQd8XRhQc9zkRZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpxpEURhgSBEh9ILe0HKIG3CcOCklsxWwam3CdWF6Xw7jwVv5P97BEtB5XaVnmvMtTA/image-asset.jpeg
Mochii,"116 E 7th St, New York, NY 10009",4.5,Icecream,https://www.mochiinyc.com/menu,https://cdn.vox-cdn.com/thumbor/9zhIk1BMYBWeAGMbbgYIOPyA2FQ=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/19184691/Redbean7618__1___1_.jpg
Odd Fellows,"55 East Houston Street
New York, NY 10012 & 75 East 4th Street
New York, NY 10003",4.4,Icecream,https://www.oddfellowsnyc.com/,file:///Applications/coreinteractionstudio/oddfellow.png
PopBar,"5 Carmine St, New York, NY 10014",4.4,Icecream,https://www.pop-bar.com/,https://i.pinimg.com/originals/d7/92/c9/d792c9ea55aa17850dbf5090b33f5bac.jpg
